k1.10,,k1.12,,k1.14,,k1.16,,k1.18,,k1.20,,k1.22,,k1.25,,k1.30,,k1.45,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
331.0743769239121,41.147468808699756,452.6655951851725,49.37694490989296,492.9077044078924,49.39985637588482,529.5865677256095,49.368053893239406,576.9278117840166,49.38481004000957,600.181239954861,47.630544061826754,600.6531477618576,44.62435454638717,601.9662825291523,40.17234893820743,604.2574291283383,34.85244331976883,603.5529870396333,26.876175494990253
341.30194675468886,42.11388555425769,435.772663543412,48.00430872345518,468.8472454946482,47.74441746742809,506.6545840030093,47.480422665253215,552.9220668194097,47.960537564545355,568.9806107444516,45.80788564784734,565.9439865950826,42.97814861676298,575.7035871832575,39.212461101802134,578.0494477310809,34.12372191635605,576.1344595287761,26.03289676161816
352.4602780718166,43.17230905333298,411.61645522005256,45.944328557261564,445.9152617720481,45.85678623944192,489.78900933556747,46.223369695311696,532.4385322983277,46.41760421297404,540.1190028382861,43.867592244297775,539.4897924289572,41.209178264883896,551.848305577403,38.42389631706733,555.391033751667,33.39192285333242,552.2791779229216,25.244331976883355
386.49355881239524,46.14603421736555,399.44260164825766,44.509797216427856,430.2328762438874,44.59870738296344,466.8843825872858,44.45132168382177,511.99603323872384,45.048045686147105,511.28475190643917,42.04288205724447,503.55640666142324,39.39062339705228,525.5035393085524,37.117258831173274,531.5083951714939,32.48777485210135,527.2543856649453,24.514584686933624
397.152588923665,46.88712503397124,378.9590671271757,42.96686386485654,414.49577676708964,43.10946209349245,442.8512806483601,42.91146599186129,485.5281605854392,43.2212837260199,483.64736860103267,40.27493759190233,479.4959477481791,37.73518448859556,501.59354375406076,36.09752761344595,506.37417501624316,31.295694696166603,497.442122901207,23.55777451013918
402.68882868697574,48.00306698132758,365.5746674417809,41.41777519406354,395.19543138528877,41.56550285538419,423.5235782922408,41.25192353725677,465.0309475771978,41.62055876620045,449.9709332147863,37.991998085011794,456.659713435694,36.25209451834627,475.18038504941353,34.50193208631125,482.4231440002735,30.102588653694898,473.58684129535277,22.769209725404366
426.65180719648754,49.39467749980488,349.8922819136203,40.15969633758506,377.1193106042471,40.19389255548336,406.57593270184304,39.64812091782648,443.33686694251617,39.96306808466983,422.27883596074264,35.99288718667715,429.0223301302875,34.48415005300413,448.83561878056275,33.195294600417185,454.93622405361964,28.970351879082166,444.9577676708956,21.811373662072974
377.1671853093047,45.396163184351806,330.57825804466023,38.557945491228665,361.36853264028997,38.64685565776425,383.7396983893582,38.16503094757719,419.2490510549534,38.19204595971685,387.3918544608966,33.595390349827305,404.97554970420265,32.886502752795536,424.81619532879665,31.713230516704847,427.3672331840098,27.491365454980674,419.8919399514414,20.90825154737886
361.4847997811442,44.13808432787333,312.433744827822,36.897377150087195,340.85764114488927,36.98833908969668,358.3866224395582,36.048285059672395,389.19057552234716,36.1949868344561,359.6997572068529,31.596279451492663,383.3498615053175,31.517970112505555,397.19249051054953,30.003077659610845,399.77088534008135,25.896795814382923,398.4167151113087,20.175426597818273
321.4820640837123,40.126526006223706,294.22083917518717,34.94785076770509,323.8963170673323,35.32674486201826,334.2714495776767,34.16167971822316,362.64063194610674,34.02147522484013,322.37800499264773,28.911876346476074,356.9367028006703,29.922374585370857,372.0035564066614,28.57983107068358,373.4671545327086,24.76353315323325,381.71528228977877,19.61187292685429
306.95551072051427,38.75183804671203,273.5868412953527,32.769209725404366,308.1865745648531,33.95308278904353,316.1269363608385,32.501111377081685,339.74968368498435,32.307218821598326,291.0405909106453,26.511301850015386,331.6656977738262,28.152378346954823,343.1829839619738,26.812912491878397,345.93919912457676,23.45792155387614,363.8306603289676,19.04934514242725
291.24576821803504,37.3781759737373,254.28649591355196,31.2252504872961,291.3209998974113,32.69602981910201,300.4308723455186,31.18524091235509,316.81769996238415,30.419587593612142,262.192661491639,24.628800054713945,306.32630031118555,26.09342406729815,319.1362035358889,25.2152651916698,325.4967000649728,22.08836302704921,349.4819272988408,18.425948090141226
