t, с;m, кг;V_x, м/с;V_y, м/с;x, м;y, м;h, м;V, м/с;theta, град.;Theta, град.;Theta_с, град.;alpha, град.;phi, град.
0.00000000;3000.00000000;0.00000000;0.00000000;0.00000000;1738000.00000000;0.00000000;0.00000000;90.00000000;NaN;NaN;NaN;0.00000000
0.10000000;2999.70726744;0.00000000;0.17336666;0.00000000;1738000.00866806;0.00866806;0.17336666;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.20000000;2999.41453488;0.00000000;0.34676609;0.00000000;1738000.03467443;0.03467443;0.34676609;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.30000000;2999.12180233;0.00000000;0.52019829;0.00000000;1738000.07802237;0.07802237;0.52019829;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.40000000;2998.82906977;0.00000000;0.69366328;0.00000000;1738000.13871518;0.13871518;0.69366328;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.50000000;2998.53633721;0.00000000;0.86716105;0.00000000;1738000.21675612;0.21675612;0.86716105;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.60000000;2998.24360465;0.00000000;1.04069163;0.00000000;1738000.31214848;0.31214848;1.04069163;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.70000000;2997.95087209;0.00000000;1.21425502;0.00000000;1738000.42489554;0.42489554;1.21425502;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.80000000;2997.65813953;0.00000000;1.38785123;0.00000000;1738000.55500058;0.55500058;1.38785123;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.90000000;2997.36540698;0.00000000;1.56148027;0.00000000;1738000.70246688;0.70246688;1.56148027;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.00000000;2997.07267442;0.00000000;1.73514215;0.00000000;1738000.86729773;0.86729773;1.73514215;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.10000000;2996.77994186;0.00000000;1.90883688;0.00000000;1738001.04949640;1.04949640;1.90883688;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.20000000;2996.48720930;0.00000000;2.08256447;0.00000000;1738001.24906620;1.24906620;2.08256447;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.30000000;2996.19447674;0.00000000;2.25632493;0.00000000;1738001.46601039;1.46601039;2.25632493;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.40000000;2995.90174419;0.00000000;2.43011826;0.00000000;1738001.70033228;1.70033228;2.43011826;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.50000000;2995.60901163;0.00000000;2.60394449;0.00000000;1738001.95203514;1.95203514;2.60394449;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.60000000;2995.31627907;0.00000000;2.77780361;0.00000000;1738002.22112227;2.22112227;2.77780361;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.70000000;2995.02354651;0.00000000;2.95169565;0.00000000;1738002.50759696;2.50759696;2.95169565;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.80000000;2994.73081395;0.00000000;3.12562060;0.00000000;1738002.81146250;2.81146250;3.12562060;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.90000000;2994.43808140;0.00000000;3.29957848;0.00000000;1738003.13272218;3.13272218;3.29957848;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.00000000;2994.14534884;0.00000000;3.47356929;0.00000000;1738003.47137929;3.47137929;3.47356929;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.10000000;2993.85261628;0.00000000;3.64759305;0.00000000;1738003.82743713;3.82743713;3.64759305;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.20000000;2993.55988372;0.00000000;3.82164977;0.00000000;1738004.20089900;4.20089900;3.82164977;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.30000000;2993.26715116;0.00000000;3.99573945;0.00000000;1738004.59176819;4.59176819;3.99573945;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.40000000;2992.97441860;0.00000000;4.16986211;0.00000000;1738005.00004799;5.00004799;4.16986211;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.50000000;2992.68168605;0.00000000;4.34401775;0.00000000;1738005.42574171;5.42574171;4.34401775;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.60000000;2992.38895349;0.00000000;4.51820639;0.00000000;1738005.86885264;5.86885264;4.51820639;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.70000000;2992.09622093;0.00000000;4.69242804;0.00000000;1738006.32938409;6.32938409;4.69242804;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.80000000;2991.80348837;0.00000000;4.86668270;0.00000000;1738006.80733935;6.80733935;4.86668270;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.90000000;2991.51075581;0.00000000;5.04097038;0.00000000;1738007.30272173;7.30272173;5.04097038;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.00000000;2991.21802326;0.00000000;5.21529110;0.00000000;1738007.81553453;7.81553453;5.21529110;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.10000000;2990.92529070;0.00000000;5.38964486;0.00000000;1738008.34578105;8.34578105;5.38964486;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.20000000;2990.63255814;0.00000000;5.56403167;0.00000000;1738008.89346460;8.89346460;5.56403167;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.30000000;2990.33982558;0.00000000;5.73845155;0.00000000;1738009.45858848;9.45858848;5.73845155;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.40000000;2990.04709302;0.00000000;5.91290450;0.00000000;1738010.04115601;10.04115601;5.91290450;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.50000000;2989.75436047;0.00000000;6.08739053;0.00000000;1738010.64117049;10.64117049;6.08739053;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.60000000;2989.46162791;0.00000000;6.26190965;0.00000000;1738011.25863522;11.25863522;6.26190965;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.70000000;2989.16889535;0.00000000;6.43646188;0.00000000;1738011.89355352;11.89355352;6.43646188;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.80000000;2988.87616279;0.00000000;6.61104721;0.00000000;1738012.54592870;12.54592870;6.61104721;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.90000000;2988.58343023;0.00000000;6.78566567;0.00000000;1738013.21576407;13.21576407;6.78566567;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.00000000;2988.29069767;0.00000000;6.96031726;0.00000000;1738013.90306294;13.90306294;6.96031726;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.10000000;2987.99796512;0.00000000;7.13500199;0.00000000;1738014.60782862;14.60782862;7.13500199;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.20000000;2987.70523256;0.00000000;7.30971987;0.00000000;1738015.33006444;15.33006444;7.30971987;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.30000000;2987.41250000;0.00000000;7.48447091;0.00000000;1738016.06977370;16.06977370;7.48447091;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.40000000;2987.11976744;0.00000000;7.65925512;0.00000000;1738016.82695973;16.82695973;7.65925512;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.50000000;2986.82703488;0.00000000;7.83407251;0.00000000;1738017.60162583;17.60162583;7.83407251;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.60000000;2986.53430233;0.00000000;8.00892309;0.00000000;1738018.39377534;18.39377534;8.00892309;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.70000000;2986.24156977;0.00000000;8.18380687;0.00000000;1738019.20341156;19.20341156;8.18380687;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.80000000;2985.94883721;0.00000000;8.35872386;0.00000000;1738020.03053782;20.03053782;8.35872386;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.90000000;2985.65610465;0.00000000;8.53367406;0.00000000;1738020.87515743;20.87515743;8.53367406;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.00000000;2985.36337209;0.00000000;8.70865750;0.00000000;1738021.73727374;21.73727374;8.70865750;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.10000000;2985.07063953;0.00000000;8.88367417;0.00000000;1738022.61689004;22.61689004;8.88367417;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.20000000;2984.77790698;0.00000000;9.05872409;0.00000000;1738023.51400968;23.51400968;9.05872409;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.30000000;2984.48517442;0.00000000;9.23380727;0.00000000;1738024.42863597;24.42863597;9.23380727;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.40000000;2984.19244186;0.00000000;9.40892371;0.00000000;1738025.36077224;25.36077224;9.40892371;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.50000000;2983.89970930;0.00000000;9.58407343;0.00000000;1738026.31042182;26.31042182;9.58407343;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.60000000;2983.60697674;0.00000000;9.75925644;0.00000000;1738027.27758804;27.27758804;9.75925644;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.70000000;2983.31424419;0.00000000;9.93447275;0.00000000;1738028.26227422;28.26227422;9.93447275;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.80000000;2983.02151163;0.00000000;10.10972236;0.00000000;1738029.26448370;29.26448370;10.10972236;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.90000000;2982.72877907;0.00000000;10.28500529;0.00000000;1738030.28421980;30.28421980;10.28500529;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.00000000;2982.43604651;0.00000000;10.46032155;0.00000000;1738031.32148587;31.32148587;10.46032155;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.10000000;2982.14331395;0.00000000;10.63567114;0.00000000;1738032.37628522;32.37628522;10.63567114;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.20000000;2981.85058140;0.00000000;10.81105407;0.00000000;1738033.44862120;33.44862120;10.81105407;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.30000000;2981.55784884;0.00000000;10.98647037;0.00000000;1738034.53849715;34.53849715;10.98647037;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.40000000;2981.26511628;0.00000000;11.16192002;0.00000000;1738035.64591639;35.64591639;11.16192002;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.50000000;2980.97238372;0.00000000;11.33740305;0.00000000;1738036.77088227;36.77088227;11.33740305;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.60000000;2980.67965116;0.00000000;11.51291947;0.00000000;1738037.91339811;37.91339811;11.51291947;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
