part,regime,Ma,alpha,n_iters,Cd_mean,Cd_std,Cl_mean,Cl_std,Cs_mean,Cs_std,CmPitch_mean,CmPitch_std,CmRoll_mean,CmRoll_std,CmYaw_mean,CmYaw_std
all,subsonic,0.4,0,50,0.33426379902000003,0.001930536294132822,8.032856761600001e-05,3.718210544821359e-05,-0.00016494726508,3.319312812857049e-05,-4.93282477012e-05,2.3702317689577276e-05,-2.3667033552e-07,3.5559283750356933e-09,-0.00012510198495,1.6148456428379753e-05
all,subsonic,0.4,3,50,0.3450738454599999,0.0014840742688394667,0.075536264516,0.005672221294791106,0.00047385631927999994,3.777817688295195e-05,-0.019195084975999997,0.005546295819119467,2.3168822764000003e-05,1.9512250708548364e-06,0.00045448171975999993,3.682171606614224e-05
all,subsonic,0.4,5,50,0.37029556026,0.0010944376825537522,0.1311791128,0.007623722291359773,-0.0009379989180600001,5.9297297091763285e-05,-0.038240873048,0.00720290334666785,-5.024302224200001e-05,4.157753362698394e-06,-0.0005681259803,4.742338847032664e-05
all,subsonic,0.4,7,50,0.40035614980000006,0.0043855337657311925,0.18285319139999998,0.00904658243963945,-0.0021434624726,0.00010854312417832811,-0.05428610678600001,0.00801395815585493,-0.00014505237,1.5149735078248276e-05,-0.00117895134412,0.00012341224157252055
all,subsonic,0.4,10,50,0.4515702160200001,0.009098921390472142,0.2603368058,0.010836838491781116,-0.005392868151400001,0.00023976759981285544,-0.079890874558,0.008450750888105152,-0.0004923689898199999,4.845132068735985e-05,-0.0027935175379999997,0.0002742283408285841
all,subsonic,0.4,15,50,0.5514411106599999,0.011676277648365154,0.40513934444,0.015930100048181125,-0.014293724258,0.0006291879868375376,-0.14006420760000002,0.010515906043028662,-0.0018856826752000004,0.00016742840040731143,-0.0070429330528,0.0006244927441950565
all,subsonic,0.7,0,50,0.4179618137399999,0.0005038636603303159,0.000294602822974,9.328952335463324e-05,-0.0003068361922,0.00010663485749938873,-0.00022631783476000002,5.480345593604024e-05,-1.968867801e-07,1.2120337843097748e-08,-0.00022902999843999998,5.110286818675337e-05
all,subsonic,0.7,3,50,0.41621547112,0.0016833058092202257,0.08905829862800001,0.003744914938512387,-0.00019446452130000003,3.4952732739905745e-05,-0.034252227646,0.0037090170452368596,-8.422380798600001e-06,2.1042810523130534e-06,-0.00015637432604,3.880932779736269e-05
all,subsonic,0.7,5,50,0.43307747562000004,0.004505419844620475,0.14729019652,0.005993345548056806,-0.0007603512308400001,3.890419309084282e-05,-0.05575007634400001,0.005673665175327558,-3.803855636e-05,2.9168554576988353e-06,-0.00043230808321999996,3.367310929932454e-05
all,subsonic,0.7,7,50,0.45585245043999995,0.006586833109370235,0.20447390172000002,0.0073769600070126605,-0.0020476633664,8.163933902613469e-05,-0.076047813664,0.006754984773263871,-0.00013342342845999998,1.2565303938619804e-05,-0.00108587330492,0.00010279514884532816
all,subsonic,0.7,10,50,0.49752273313999995,0.008530398754906767,0.29737140015999997,0.008613031364678147,-0.005256833236600001,0.00027580476773200583,-0.11282167951,0.007536781815548102,-0.0004768134694799999,4.9608415173266226e-05,-0.0027062525244,0.0002813547750317185
all,subsonic,0.7,15,50,0.59787021814,0.010410471322125093,0.47149529447999994,0.010627138667027566,-0.014339081473999997,0.0005901605135097123,-0.19211432882,0.007901997630207831,-0.0019649654561999996,0.00016147334977283058,-0.007338847138799998,0.0006022735945996221
all,subsonic,0.9,0,50,0.48885617908,0.0010633154271621822,-0.0051363717472000005,0.0025843338321491927,-0.0072253094311999985,0.002301059242671099,0.0043410246092,0.00030758581992126736,3.6778209234e-06,4.7410210431647024e-08,-0.0031633967022,0.001141914536902153
all,subsonic,0.9,3,50,0.55732996524,0.012627973487890179,0.096049840026,0.0027244872160681766,-0.0022358589674,0.000646056942285952,-0.04789040106,0.003036568046455173,-6.1483931062e-05,1.723302906975157e-05,-0.00116841402418,0.00032906539921270426
all,subsonic,0.9,5,50,0.5598686295399999,0.011623755124406498,0.15727774076,0.006331080799482881,-0.002057862879,0.0005046071294812393,-0.075893232646,0.006957275808521864,-6.91483967266e-05,2.379478259663072e-05,-0.0007893345758800001,0.00027199177035345243
all,subsonic,0.9,7,50,0.5714825997399999,0.009917420653525326,0.22002795371999997,0.008042685857362054,-0.0041063744098,0.00033487401602139675,-0.103811247256,0.009100707165207212,-0.00025448164768,2.847474959522116e-05,-0.0020730732131999997,0.0002323607265763219
all,subsonic,0.9,10,50,0.6067285088400001,0.007788509669845455,0.32448624330000003,0.009296103596594937,-0.006726386570400001,0.0004318214846791773,-0.15367520516,0.01086745862572714,-0.00058278111188,5.90131911554008e-05,-0.0033087511540000002,0.0003346324057710633
all,subsonic,0.9,15,50,0.70923724916,0.0050420841917435035,0.53386397018,0.010203573294398702,-0.015757194384,0.0003914922627254772,-0.26327097705999997,0.010940085749416946,-0.0021686735434,0.00012142709480173362,-0.0081006648114,0.00045300130101086925
all,supersonic,1.2,0,50,0.8242127169,0.003984849551438968,-1.1570212246739999e-05,1.857867542395775e-05,-2.52492040502e-05,1.1160800780000244e-05,-2.0742596598000005e-05,5.75823873524622e-06,-4.6158161171999996e-08,3.5517697037935123e-09,1.833891222958e-05,7.97141778339759e-06
all,supersonic,1.2,3,50,0.8442298832200001,0.0015742808594498032,0.068301280224,9.006930893139894e-05,-7.0633031204e-05,7.583039585243598e-06,-0.03326527594399999,3.0917916618904635e-05,-3.07743970074e-07,2.548132282753177e-07,-5.315716518720001e-06,4.955015904312296e-06
all,supersonic,1.2,5,50,0.85088320866,0.006698713179241812,0.11877427500000001,0.0004634444116744597,-0.00027121154426,5.21061340597181e-05,-0.057982387005999995,0.00014453981104261762,-1.5100702784e-05,2.0656913622952555e-06,-0.00017227219822000002,2.360186205362418e-05
all,supersonic,1.2,7,50,0.87650724294,0.0068434496574491565,0.17276282356,0.0004245591408463267,-0.0011992014798,2.207190556249645e-05,-0.08581040313800001,0.00034425412247926734,-0.00011261056155999999,5.606345061490446e-06,-0.0009172821627799998,4.570460181271783e-05
all,supersonic,1.2,10,50,0.94171447288,0.0009535776204463978,0.26615953204000004,6.392755003268724e-05,-0.009266885804999998,0.0013246327850537337,-0.13763343936000003,0.0003056750115545732,-0.0012247208301800002,0.00017820725956507746,-0.0069464275038,0.0010107070085377658
all,supersonic,1.2,15,50,1.0260455444,0.0033830443367211427,0.47843844007999997,0.0029528728798831312,-0.041383770314,0.010735948292075066,-0.24479318132,0.003004982103472173,-0.0080829215224,0.0021507220593690495,-0.030166556345999997,0.00802648021331171
all,supersonic,1.4,0,50,0.7787019456200001,0.005206563367284513,-1.5169262651e-05,1.2810377759106103e-05,-4.5311511747999995e-05,1.2251137350890088e-05,-3.72432019118e-05,1.9562790213527544e-05,2.08639364126e-08,1.0588907686393288e-08,-3.58160200088e-05,1.6861164352857265e-05
all,supersonic,1.4,3,50,0.83013270544,0.00942849023363793,0.071844336314,0.0006459681211023961,-1.4220191003400002e-05,2.6958296572520968e-05,-0.034744345522,5.607944625409759e-05,1.76789099884e-07,1.242087786401848e-06,3.1273352944000003e-06,2.3722060820754396e-05
all,supersonic,1.4,5,50,0.8563898104400001,0.005528210482096055,0.12234674500000002,0.00015999919730589444,-0.00048056980208000005,1.6472878912041248e-05,-0.060329077732,0.00040087415396153076,-2.9202435327999996e-05,1.3217029804202442e-06,-0.00033412695992,1.484609555615213e-05
all,supersonic,1.4,7,50,0.8839284876999999,0.004445236419716736,0.17777184038,0.00027032966506893187,-0.0012163370602,3.531887074969643e-05,-0.088399405472,0.00027961179602607137,-0.00010656194470000002,3.574856254696075e-06,-0.00086736102392,2.9154560674332576e-05
all,supersonic,1.4,10,50,0.9313124664600001,0.004189590116869084,0.28078189286,0.00035615480995998533,-0.0052595305374000005,0.0008641451237897637,-0.14242156186,0.0008596490235905134,-0.0007009380239,0.00011310753851060602,-0.003975122547599999,0.0006412628015661013
