t;m;Vx;Vy;x;y;H;V;vartheta;theta;alpha;Mach;q;X;Y;Mz;omega;stage
0.0000;30568.000;0.0000;0.0000;0.000;0.000;0.000;0.0000;90.0000;0.0000;90.0000;0.00000;0.0000;0.000;0.000;-0.000;0.000000;1
0.1000;30537.727;-0.0000;1.5185;0.000;0.076;0.076;1.5185;90.0000;90.0000;-0.0000;0.00446;1.4124;0.833;-0.000;0.002;0.000000;1
0.2000;30507.455;-0.0000;3.0395;0.000;0.304;0.304;3.0395;90.0000;90.0000;-0.0000;0.00893;5.6585;3.338;-0.001;0.010;0.000000;1
0.3000;30477.182;-0.0000;4.5630;0.000;0.684;0.684;4.5630;90.0000;90.0000;-0.0000;0.01341;12.7520;7.522;-0.002;0.023;0.000000;1
0.4000;30446.910;-0.0000;6.0890;0.000;1.216;1.216;6.0890;90.0000;90.0000;-0.0000;0.01789;22.7060;13.393;-0.004;0.040;0.000000;1
0.5000;30416.637;-0.0000;7.6174;0.000;1.902;1.902;7.6174;90.0000;90.0000;-0.0000;0.02239;35.5337;20.959;-0.006;0.063;0.000000;1
0.6000;30386.364;-0.0000;9.1483;0.000;2.740;2.740;9.1483;90.0000;90.0000;-0.0000;0.02688;51.2479;30.228;-0.008;0.091;0.000000;1
0.7000;30356.092;-0.0000;10.6818;0.000;3.732;3.732;10.6818;90.0000;90.0000;-0.0000;0.03139;69.8614;41.207;-0.011;0.124;0.000000;1
0.8000;30325.819;-0.0000;12.2177;0.000;4.876;4.876;12.2177;90.0000;90.0000;-0.0000;0.03591;91.3865;53.904;-0.014;0.162;0.000000;1
0.9000;30295.547;-0.0000;13.7561;0.000;6.175;6.175;13.7561;90.0000;90.0000;-0.0000;0.04043;115.8354;68.325;-0.018;0.205;0.000000;1
1.0000;30265.274;-0.0000;15.2971;0.000;7.628;7.628;15.2971;90.0000;90.0000;-0.0000;0.04496;143.2202;84.477;-0.023;0.253;0.000000;1
1.1000;30235.002;-0.0000;16.8405;0.000;9.235;9.235;16.8405;90.0000;90.0000;-0.0000;0.04949;173.5527;102.369;-0.027;0.307;0.000000;1
1.2000;30204.729;-0.0000;18.3865;0.000;10.996;10.996;18.3865;90.0000;90.0000;-0.0000;0.05404;206.8443;122.005;-0.033;0.366;0.000000;1
1.3000;30174.456;-0.0000;19.9349;0.000;12.912;12.912;19.9349;90.0000;90.0000;-0.0000;0.05859;243.1063;143.394;-0.038;0.430;0.000000;1
1.4000;30144.184;-0.0000;21.4859;0.000;14.983;14.983;21.4859;90.0000;90.0000;-0.0000;0.06315;282.3500;166.542;-0.044;0.500;0.000000;1
1.5000;30113.911;-0.0000;23.0394;0.000;17.209;17.209;23.0394;90.0000;90.0000;-0.0000;0.06772;324.5861;191.455;-0.051;0.574;0.000000;1
1.6000;30083.639;-0.0000;24.5954;0.000;19.591;19.591;24.5954;90.0000;90.0000;-0.0000;0.07229;369.8252;218.139;-0.058;0.654;0.000000;1
1.7000;30053.366;-0.0000;26.1539;0.000;22.128;22.128;26.1539;90.0000;90.0000;-0.0000;0.07688;418.0777;246.600;-0.066;0.740;0.000000;1
1.8000;30023.093;-0.0000;27.7150;0.000;24.822;24.822;27.7150;90.0000;90.0000;-0.0000;0.08147;469.3538;276.845;-0.074;0.830;0.000000;1
1.9000;29992.821;-0.0000;29.2786;0.000;27.672;27.672;29.2786;90.0000;90.0000;-0.0000;0.08607;523.6632;308.879;-0.082;0.926;0.000000;1
2.0000;29962.548;-0.0000;30.8447;0.000;30.678;30.678;30.8447;90.0000;90.0000;-0.0000;0.09067;581.0157;342.708;-0.092;1.028;0.000000;1
2.1000;29932.276;-0.0000;32.4134;0.000;33.841;33.841;32.4134;90.0000;90.0000;-0.0000;0.09529;641.4207;378.337;-0.101;1.135;0.000000;1
2.2000;29902.003;-0.0000;33.9846;0.000;37.160;37.160;33.9846;90.0000;90.0000;-0.0000;0.09991;704.8871;415.772;-0.111;1.247;0.000000;1
2.3000;29871.730;-0.0000;35.5583;0.000;40.638;40.638;35.5583;90.0000;90.0000;-0.0000;0.10454;771.4240;455.019;-0.122;1.365;0.000000;1
2.4000;29841.458;-0.0000;37.1346;0.000;44.272;44.272;37.1346;90.0000;90.0000;-0.0000;0.10918;841.0400;496.081;-0.132;1.488;0.000000;1
2.5000;29811.185;-0.0000;38.7134;0.000;48.065;48.065;38.7134;90.0000;90.0000;-0.0000;0.11383;913.7433;538.964;-0.144;1.617;0.000000;1
2.6000;29780.913;-0.0000;40.2948;0.000;52.015;52.015;40.2948;90.0000;90.0000;-0.0000;0.11848;989.5422;583.674;-0.156;1.751;0.000000;1
2.7000;29750.640;-0.0000;41.8787;0.000;56.124;56.124;41.8787;90.0000;90.0000;-0.0000;0.12314;1068.4444;630.214;-0.168;1.890;0.000000;1
2.8000;29720.367;-0.0000;43.4652;0.000;60.391;60.391;43.4652;90.0000;90.0000;-0.0000;0.12782;1150.4574;678.588;-0.181;2.035;0.000000;1
2.9000;29690.095;-0.0000;45.0543;0.000;64.817;64.817;45.0543;90.0000;90.0000;-0.0000;0.13250;1235.5886;728.802;-0.195;2.186;0.000000;1
3.0000;29659.822;-0.0000;46.6459;0.000;69.402;69.402;46.6459;90.0000;90.0000;-0.0000;0.13718;1323.8450;780.860;-0.209;2.342;0.000000;1
3.1000;29629.550;-0.0000;48.2401;0.000;74.146;74.146;48.2401;90.0000;90.0000;-0.0000;0.14188;1415.2333;834.764;-0.223;2.504;0.000000;1
3.2000;29599.277;-0.0000;49.8368;0.000;79.050;79.050;49.8368;90.0000;90.0000;-0.0000;0.14658;1509.7600;890.520;-0.238;2.671;0.000000;1
3.3000;29569.005;-0.0000;51.4361;0.000;84.113;84.113;51.4361;90.0000;90.0000;-0.0000;0.15130;1607.4313;948.131;-0.253;2.844;0.000000;1
3.4000;29538.732;-0.0000;53.0380;0.000;89.337;89.337;53.0380;90.0000;90.0000;-0.0000;0.15602;1708.2530;1007.600;-0.269;3.022;0.000000;1
3.5000;29508.459;-0.0000;54.6425;0.000;94.721;94.721;54.6425;90.0000;90.0000;-0.0000;0.16075;1812.2308;1068.930;-0.285;3.206;0.000000;1
3.6000;29478.187;-0.0000;56.2495;0.000;100.266;100.266;56.2495;90.0000;90.0000;-0.0000;0.16548;1919.3701;1132.126;-0.302;3.396;0.000000;1
3.7000;29447.914;-0.0000;57.8591;0.000;105.971;105.971;57.8591;90.0000;90.0000;-0.0000;0.17023;2029.6758;1197.189;-0.320;3.591;0.000000;1
3.8000;29417.642;-0.0000;59.4714;0.000;111.838;111.838;59.4714;90.0000;90.0000;-0.0000;0.17499;2143.1527;1264.122;-0.338;3.792;0.000000;1
3.9000;29387.369;-0.0000;61.0862;0.000;117.865;117.865;61.0862;90.0000;90.0000;-0.0000;0.17975;2259.8052;1332.929;-0.356;3.998;0.000000;1
4.0000;29357.096;-0.0000;62.7035;0.000;124.055;124.055;62.7035;90.0000;90.0000;-0.0000;0.18452;2379.6376;1403.611;-0.375;4.210;0.000000;1
4.1000;29326.824;-0.0000;64.3235;0.000;130.406;130.406;64.3235;90.0000;90.0000;-0.0000;0.18930;2502.6537;1476.171;-0.394;4.428;0.000000;1
4.2000;29296.551;-0.0000;65.9461;0.000;136.920;136.920;65.9461;90.0000;90.0000;-0.0000;0.19409;2628.8571;1550.611;-0.414;4.651;0.000000;1
4.3000;29266.279;-0.0000;67.5713;0.000;143.596;143.596;67.5713;90.0000;90.0000;-0.0000;0.19889;2758.2509;1626.933;-0.434;4.880;0.000000;1
4.4000;29236.006;-0.0000;69.1991;0.000;150.434;150.434;69.1991;90.0000;90.0000;-0.0000;0.20370;2890.8383;1705.139;-0.455;5.115;0.000000;1
4.5000;29205.733;-0.0000;70.8294;0.000;157.435;157.435;70.8294;90.0000;90.0000;-0.0000;0.20851;3026.6217;1785.229;-0.477;5.355;0.000000;1
4.6000;29175.461;-0.0000;72.4624;0.000;164.600;164.600;72.4624;90.0000;90.0000;-0.0000;0.21334;3165.6036;1867.207;-0.499;5.601;0.000000;1
